step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
226,0.80808,0.66667,,
227,1.13965,0.71839,,
228,0.99886,0.6988,,
229,1.87512,0.55862,,
230,0.86301,0.74815,,
231,0.22028,0.875,,
232,1.07724,0.63333,,
233,0.94751,0.74257,,
234,1.148,0.72115,,
235,0.9536,0.67273,,
236,0.81204,0.78146,,
237,1.39408,0.61728,,
238,1.21206,0.61538,,
239,0.91146,0.71654,,
240,1.1286,0.65101,,
241,0.71237,0.76136,,
242,0.81941,0.75,,
243,0.88356,0.78846,,
244,0.93754,0.73881,,
245,0.9104,0.73958,,
246,1.14079,0.71818,,
247,1.0401,0.7415,,
248,0.62624,0.81553,,
249,0.25779,0.92424,,
250,1.03513,0.72,,
251,1.26058,0.63393,,
252,0.31879,0.89583,,
253,0.97226,0.72477,,
254,0.61571,0.8254,,
255,1.19866,0.67805,,
256,0.71603,0.73451,,
257,1.24957,0.69737,,
258,0.03367,1.0,,
259,1.22997,0.60484,,
260,0.66866,0.75926,,
261,1.19915,0.71171,,
262,0.61702,0.8,,
263,1.35869,0.584,,
264,0.90334,0.784,,
265,0.66557,0.82906,,
266,0.96413,0.71123,,
267,1.15713,0.66225,,
268,1.03287,0.75595,,
269,0.89958,0.73333,,
270,0.78412,0.72785,,
271,1.00058,0.67273,,
272,0.64796,0.73832,,
273,1.32333,0.64167,,
274,0.9534,0.76596,,
275,1.27211,0.70253,,
276,0.95297,0.73333,,
277,1.15049,0.66667,,
278,0.36367,0.90152,,
279,0.94489,0.70922,,
280,0.60215,0.784,,
281,0.28068,0.91304,,
282,0.96008,0.70286,,
283,0.70987,0.75926,,
284,1.02164,0.72593,,
285,0.74726,0.75652,,
286,0.63717,0.84466,,
287,0.86073,0.69369,,
288,0.71322,0.78095,,
289,0.22,0.91139,,
290,0.81233,0.70707,,
291,1.39936,0.60674,,
292,0.85139,0.75177,,
293,0.89053,0.72165,,
294,0.13969,0.96954,,
295,0.93237,0.72917,,
296,0.42177,0.86885,,
297,1.40669,0.61585,,
298,0.72155,0.77215,,
299,1.18868,0.67164,,
300,0.70483,0.75,,
301,1.00028,0.71094,1.14822,0.64706
302,0.64797,0.75397,,
303,0.19229,0.92857,,
304,0.85458,0.73288,,
305,1.15476,0.65657,,
306,0.64672,0.83696,,
307,0.82563,0.75373,,
308,0.99771,0.71257,,
309,1.10568,0.69655,,
310,0.92359,0.7125,,
311,0.28186,0.87755,,
312,1.39443,0.63846,,
313,1.05996,0.73684,,
314,1.33887,0.65714,,
315,0.92086,0.71642,,
316,0.78235,0.77551,,
317,0.47141,0.77419,,
318,1.29469,0.66897,,
319,0.48527,0.87692,,
320,1.19593,0.63636,,
321,1.05738,0.65789,,
322,0.73138,0.78289,,
323,1.42099,0.5814,,
324,0.88892,0.7377,,
325,0.47773,0.82569,,
326,0.95935,0.72781,,
327,0.72579,0.78698,,
328,0.42101,0.875,,
329,1.21198,0.66667,,
330,0.82385,0.70647,,
331,0.67902,0.82857,,
332,1.04212,0.69106,,
333,0.76433,0.76636,,
334,0.82445,0.77707,,
335,0.93749,0.744,,
336,0.96866,0.72368,,
337,0.62556,0.81111,,
338,0.28774,0.92241,,
339,0.5579,0.79268,,
340,0.67257,0.79412,,
341,0.25335,0.89683,,
342,0.46177,0.83784,,
343,0.91799,0.75,,
344,1.49044,0.57432,,
345,1.31209,0.60494,,
346,1.18076,0.63905,,
347,0.79845,0.74342,,
348,2.92286,0.40127,,
349,0.8329,0.71014,,
350,0.8811,0.74074,,
351,0.96025,0.69231,,
352,0.5143,0.88235,,
353,1.11025,0.59184,,
354,1.13841,0.67251,,
355,0.17502,0.90476,,
356,1.19208,0.63866,,
357,0.94317,0.7663,,
358,0.77593,0.77477,,
359,1.30352,0.6746,,
360,0.55791,0.85714,,
361,1.10092,0.67826,,
362,1.25414,0.648,,
363,0.57664,0.8169,,
364,1.06651,0.65,,
365,0.8983,0.7619,,
366,1.11201,0.64925,,
367,0.7439,0.76471,,
368,1.06316,0.70175,,
369,0.99207,0.7234,,
370,0.5947,0.8,,
371,0.4436,0.85185,,
372,0.76774,0.78261,,
373,0.99196,0.72515,,
374,0.18688,0.93651,,
375,1.22235,0.65605,,
376,1.42192,0.67273,,
377,0.7772,0.76692,,
378,1.15671,0.66667,,
379,1.44709,0.67692,,
380,1.0128,0.70253,,
381,0.62258,0.77778,,
382,0.63378,0.83478,,
383,0.96211,0.71698,,
384,0.68222,0.75294,,
385,0.75248,0.75676,,
386,0.6191,0.72941,,
387,1.01465,0.7,,
388,1.1255,0.66346,,
389,0.8058,0.76271,,
390,0.75702,0.75325,,
391,1.10543,0.70536,,
392,0.62858,0.8,,
393,0.309,0.89333,,
394,0.8443,0.75591,,
395,0.40415,0.80702,,
396,0.59594,0.82692,,
397,0.64606,0.75833,,
398,0.74015,0.74444,,
399,1.43623,0.62222,,
400,0.75833,0.78378,,
401,1.30014,0.65385,0.61152,0.63077
402,0.85667,0.70492,,
403,1.01371,0.68182,,
404,0.93711,0.72277,,
405,1.46203,0.59091,,
406,1.19485,0.67619,,
407,0.5446,0.81081,,
408,0.38504,0.89474,,
409,0.80338,0.71852,,
410,0.62457,0.84091,,
411,1.09166,0.74286,,
412,1.45781,0.56667,,
413,0.64827,0.81818,,
414,0.74234,0.76768,,
415,1.09098,0.66957,,
416,0.67407,0.75949,,
417,0.80044,0.73333,,
418,0.76049,0.72727,,
419,0.47347,0.83648,,
420,1.07359,0.73438,,
421,0.27648,0.91026,,
422,1.65767,0.60839,,
423,0.17054,0.96,,
424,0.89894,0.64815,,
425,0.88875,0.73529,,
426,0.43253,0.84127,,
427,1.0486,0.66667,,
428,0.54594,0.84615,,
429,0.92627,0.7381,,
430,0.61069,0.75676,,
431,0.78986,0.75221,,
432,0.90399,0.75373,,
433,1.06591,0.66038,,
434,1.21022,0.65625,,
435,0.91061,0.73885,,
436,0.75162,0.74286,,
437,1.1131,0.67742,,
438,0.68606,0.7907,,
439,1.00143,0.7037,,
440,0.96296,0.75135,,
441,1.12444,0.67593,,
442,0.64561,0.7875,,
443,0.29431,0.88889,,
444,0.54591,0.80597,,
445,1.1833,0.64706,,
446,0.8086,0.73394,,
447,0.95885,0.68966,,
448,0.649,0.79245,,
449,0.77345,0.76744,,
450,1.17203,0.65517,,
451,1.06389,0.65972,,
452,0.8917,0.76744,,
453,0.81606,0.76136,,
454,1.03435,0.63333,,
455,0.76965,0.775,,
456,1.06837,0.67021,,
457,0.55623,0.80909,,
458,0.78786,0.72277,,
459,0.36893,0.87273,,
460,0.71919,0.78,,
461,0.85471,0.78495,,
462,0.81963,0.71,,
463,0.79201,0.74118,,
464,0.79664,0.77451,,
465,1.05624,0.67619,,
466,1.06723,0.69725,,
467,0.95501,0.69412,,
468,0.52947,0.85507,,
469,1.1417,0.68675,,
470,1.16253,0.65608,,
471,0.4414,0.81818,,
472,0.84686,0.73881,,
473,0.97066,0.71698,,
474,1.24738,0.62733,,
475,1.2756,0.625,,
476,0.44708,0.82,,
477,0.84163,0.75904,,
478,0.17099,0.93204,,
479,1.17419,0.64444,,
480,0.38744,0.88235,,
481,0.89273,0.68182,,
482,0.93902,0.71084,,
483,0.43149,0.87324,,
484,0.83898,0.77064,,
485,0.63139,0.77344,,
486,0.27198,0.93333,,
487,1.07599,0.69822,,
488,0.91965,0.69343,,
489,0.60582,0.82692,,
490,0.54242,0.80328,,
491,0.54918,0.83696,,
492,1.23171,0.5935,,
493,0.73003,0.77419,,
494,0.91426,0.70833,,
495,1.20619,0.66667,,
496,0.20887,0.92308,,
497,0.87139,0.71642,,
498,0.48233,0.83333,,
499,0.61968,0.74026,,
500,0.66435,0.79389,,
501,0.97091,0.72368,0.72186,0.68182
502,0.96568,0.68852,,
503,0.90893,0.73077,,
504,0.59992,0.74648,,
505,1.20057,0.7,,
506,0.63266,0.82278,,
507,0.75338,0.79279,,
508,0.36382,0.86842,,
509,0.63953,0.76087,,
510,0.4062,0.89655,,
511,0.85223,0.72174,,
512,0.73844,0.72222,,
513,0.88816,0.70536,,
514,1.30609,0.67005,,
515,0.95548,0.776,,
516,1.0921,0.67808,,
517,0.69985,0.75362,,
518,0.40238,0.84314,,
519,0.77617,0.75573,,
520,0.36046,0.87719,,
521,0.83664,0.74419,,
522,0.37956,0.87654,,
523,0.6252,0.84783,,
524,0.8424,0.72603,,
525,1.1406,0.63291,,
526,1.01859,0.73118,,
527,1.02201,0.70968,,
528,1.01315,0.64912,,
529,0.68451,0.74419,,
530,1.13661,0.66667,,
531,0.37741,0.82143,,
532,0.17928,0.98246,,
533,0.59355,0.72727,,
534,0.97337,0.66364,,
535,0.65925,0.79412,,
536,0.56082,0.82609,,
537,0.39139,0.82979,,
538,0.92231,0.72667,,
539,1.02964,0.66102,,
540,0.7699,0.76289,,
541,0.64016,0.87324,,
542,0.87556,0.79167,,
543,0.95179,0.66393,,
544,0.60417,0.77273,,
545,0.76435,0.76543,,
546,0.87959,0.72414,,
